0,"Animals & Pet Supplies"
1,"Apparel & Accessories"
2,"Arts & Entertainment"
3,"Electronics"
4,"Food, Beverages & Tobacco"
5,"Health & Beauty"
6,"Home & Garden"
7,"Sporting Goods"
8,"Toys & Games"
9,"Warehouse"
